"Electronic music producer Kygo&#039;s popularity skyrocketed after a certain remix. Which song did he remix?","Ed Sheeran - I See Fire","Marvin Gaye - Sexual Healing","Coldplay - Midnight","a-ha - Take On Me",51
"What type of dog is &#039;Handsome Dan&#039;, the mascot of Yale University?","Bulldog","Yorkshire Terrier","Boxer","Pug",52
"What is the airspeed velocity of an unladen swallow?","24 MPH","15 MPH","20 MPH","200 MPH",53
"The words &quot;bungalow&quot; and &quot;shampoo&quot; originate from the languages of which country?","India","Papua New Guinea","Ethiopia","China",54
"When was &quot;YouTube&quot; founded?","38397","38129","38607","40013",55
"Before the 19th Century, the &quot;Living Room&quot; was originally called the...","Parlor","Open Room","Sitting Room","Loft",56
"What year was Queen Elizabeth II born?","1926","1923","1929","1930",57
"Which film star has his statue in Leicester Square?","Charlie Chaplin","Paul Newman","Rowan Atkinson ","Alfred Hitchcock",58
"Which of the following chemicals are found in eggplant seeds?","Nicotine","Mescaline","Cyanide","Psilocybin",59
"Sciophobia is the fear of what?","Shadows","Eating","Bright lights","Transportation",60
"Which of these banks are NOT authorized to issue currency notes in Hong Kong?","OCBC","HSBC","Standard Chartered","Bank of China",61
"What is the romanized Chinese word for &quot;airplane&quot;?","Feiji","Qiche","Zongxian","Huojian",62
"What is the romanized Korean word for &quot;heart&quot;?","Simjang","Aejeong","Jeongsin","Segseu",63
"What is the romanized Arabic word for &quot;moon&quot;?","Qamar","Najma","Kawkab","Shams",64
"Which musician has collaborated with American producer Porter Robinson and released the 2016 song &quot;Shelter&quot;?","Madeon","Mat Zo","deadmau5","Zedd",65
"Disney&#039;s Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?","Harry","Gus","Phineas","Ezra",66
"How long did it take the motorized window washers of the original World Trade Center to clean the entire exterior of the building?","1 Month","3 Weeks","1 Week","2 Months",67
"Which of the following languages does NOT use gender as a part of its grammar?","Turkish","German","Danish","Polish",68
"Which one of these Swedish companies was founded in 1943?","IKEA","H &amp; M","Lindex","Clas Ohlson",69
"How many calories are in a 355 ml can of Pepsi Cola?","150","200","100","155",70
"De Eemhof, Port Zelande and Het Heijderbos are holiday villas owned by what company?","Center Parcs","Yelloh Village","Keycamp","Villa Plus",71
"What year was the RoboSapien toy robot released?","2004","2000","2001","2006",72
"According to Fair Works Australia, how long do you have to work to get Long Service Leave?","7 years","2 years","8 years","6 months",73
"According to the 2014-2015 Australian Bureau of Statistics, what percentage of Australians were born overseas?","0.28","0.13","0.2","0.07",74
"What was Bank of America originally established as?","Bank of Italy","Bank of Long Island","Bank of Pennsylvania","Bank of Charlotte",75
"Which product did Nokia, the telecommunications company, originally sell?","Paper","Phones","Computers","Processors",76
"What does the Latin phrase &quot;Veni, vidi, vici&quot; translate into English?","I came, I saw, I conquered","See no evil, hear no evil, speak no evil","Life, liberty, and happiness","Past, present, and future",77
"Virtual reality company Oculus VR lost which of it&#039;s co-founders in a freak car accident in 2013?","Andrew Scott Reisse","Nate Mitchell","Jack McCauley","Palmer Luckey",78
"Who founded the Khan Academy?","Sal Khan","Ben Khan","Kitt Khan","Adel Khan",79
"In flight systems, what does the initialism &quot;TCAS&quot; stand for?","Traffic Collision Avoidance System","Traffic Communication Alert System","Traffic Configuration Alignment System","Traffic Call-sign Abbreviation System",80
"If someone said &quot;you are olid&quot;, what would they mean?","You smell extremely unpleasant.","You are out of shape/weak.","Your appearance is repulsive.","You are incomprehensible/an idiot.",81
"Named after the mallow flower, mauve is a shade of what?","Purple","Red","Brown","Pink",82
"Chartreuse is a color between yellow and what?","Green","Red","Black","Purple",83
"Originally another word for poppy, coquelicot is a shade of what?","Red","Green","Blue","Pink",84
"Nephelococcygia is the practice of doing what?","Finding shapes in clouds","Sleeping with your eyes open","Breaking glass with your voice","Swimming in freezing water",85
"The Quadrangularis Reversum is best described as which of the following?","A percussion instrument","A building in Oxford University","A chess move","A geometric theorem",86
"Where is Apple Inc. headquartered?","Cupertino, California","Redwood City, California","Redmond, Washington","Santa Monica, CA",87
"If you planted the seeds of Quercus robur, what would grow?","Trees","Grains","Vegetables","Flowers",88
"Located in Chile, El Teniente is the world&#039;s largest underground mine for what metal?","Copper","Iron","Nickel","Silver",89
"How many notes are there on a standard grand piano?","88","98","108","78",90
"In the MMO RPG &quot;Realm of the Mad God&quot;, what dungeon is widely considered to be the most difficult?","The Shatter&#039;s","Snake Pit","The Tomb of the Acient&#039;s","The Puppet Master&#039;s Theater",91
"What is the weight of a Gold Bar in Fallout: New Vegas?","35 Pounds","30 Pounds","40 Pounds","32.50 Pounds",92
"In &quot;Battle Cats&quot;, what is Moneko / MISS Moneko&#039;s critical percentage rate?","0.15","0.2","0.1","0.25",93
"What is the most commonly used noun in the English language?","Time","Home","Water","Man",94
"The word &quot;abulia&quot; means which of the following?","The inability to make decisions","The inability to stand up","The inability to concentrate on anything","A feverish desire to rip one&#039;s clothes off",95
"The word &quot;astasia&quot; means which of the following?","The inability to stand up","The inability to make decisions","The inability to concentrate on anything","A feverish desire to rip one&#039;s clothes off",96
"The word &quot;aprosexia&quot; means which of the following?","The inability to concentrate on anything","The inability to make decisions","A feverish desire to rip one&#039;s clothes off","The inability to stand up",97
"Which of these cities does NOT have a United States Minting location?","St. Louis, MO","San Fransisco, CA","Philidelphia, PA","West Point, NY",98
"Which of the following  British Monarchs never appeared on a circulated pound sterling coin?","Edward VIII","Victoria","George VI","Charles II",99
"In &quot;Resident Evil 3&quot;, how many inventory slots does Jill have at the start of the game?","10","6","8","12",100
