"What name did &quot;Mario&quot;, from &quot;Super Mario Brothers&quot;, originally have?","Ossan","Jumpman","Mr. Video","Mario",353
"In the &quot;Halo&quot; franchise, in what country is New Mombasa?","Kenya","India","Turkey","Slovakia",354
"What is Solid Snake&#039;s real name?","David","Solid Snake","John","Huey",355
"Who was the first jedi that Starkiller had to kill in Star Wars: The Force Unleashed?","Rahm Kota","Ahsoka Tano","Kazdan Paratus","Kento Marek",356
"In which country&#039;s version of Half-Life are the HECU Marines replaced with robots?","Germany","Japan","China","France",357
"What is the name of the currency in the &quot;Animal Crossing&quot; series?","Bells","Sea Shells","Leaves","Bugs",358
"The original mascot of the popular Nintendo game, &quot;Splatoon&quot; was going to be...","Mario","Inklings","Octolings","Zelda",359
"The city of Rockport is featured in which of the following video games?","Need for Speed: Most Wanted (2005)","Infamous 2","Saints Row: The Third","Burnout Revenge",360
"Excluding their instructor, how many members of Class VII are there in the game &quot;Legend of Heroes: Trails of Cold Steel&quot;?","9","6","10","3",361
"Which of these weapons is NOT available to the Terrorist team in the game, &quot;Counter-Strike: Global Offensive&quot;?","SCAR-20","SG 550","CZ-75","XM1014",362
"&quot;Rollercoaster Tycoon&quot; was programmed mostly entirely in...","x86 Assembly","C++","C","ALGOL",363
"In Left 4 Dead, what is the name of the virus, as designated by CEDA, that causes most humans to turn into the Infected?","Green Flu","Yellow Fever","T-Virus","Raspberry Sniffles",364
"In Left 4 Dead, what is the name of the Special Infected that is unplayable in Versus mode?","The Witch","The Tank","The Smoker","The Spitter",365
"In the Portal series, Aperture Science was founded under what name in the early 1940s?","Aperture Fixtures","Aperture Lavatories","Aperture Science Innovators","Wheatley Laboratories",366
"What two characters from the game Undertale are never in a relationship or not related?","Frisk &amp; Chara","Sans &amp; Papyrus","Toriel &amp; Asgore","Alphys &amp; Undyne",367
"In Team Fortress 2, which class wields a shotgun?","Everyone Listed","Heavy","Soldier","Engineer",368
"By how many minutes are you late to work in &quot;Half-Life&quot;?","30","5","60","15",369
"Which musical artist was NOT featured as playable avatars in the game &quot;DJ Hero&quot;?","Dr. Dre","DJ Shadow","Daft Punk","Grandmaster Flash",370
"What was the first PlayStation game to require the use of the DualShock controller?","Ape Escape","Metal Gear","Tekken ","Tomba 2!",371
"In vanilla Minecraft, you can make armor out of all BUT which of the following?","Emeralds","Diamonds","Iron","Leather",372
"Final Fantasy VI was originally released outside Japan under what name?","Final Fantasy III","Final Fantasy VI","Final Fantasy V","Final Fantasy II",373
"In which game does a character say, &quot;Sometimes, I dream about cheese&quot;?","Half Life 2","Team Fortress 2","Dark Souls","Serious Sam: The Second Encounter",374
"Which of the following games in the Anno series introduced the &quot;Eco Balance&quot; gameplay mechanic?","Anno 2070","Anno 1404","Anno 2205"," Anno 1701",375
"Which of these is not the name of a city in the Grand Theft Auto series?","San Andreas","San Fierro","Las Venturas","Vice City",376
"In the game The World Ends With You, all of these characters act as a game partner with Neku for a week except:","Rhyme","Shiki","Joshua","Beat",377
"What was the first .hack game?",".hack//Infection",".hack//Zero",".hack//Sign",".hack//Liminality",378
"When was Nintendo&#039;s Virtual Boy released?","1995","1989","1997","1992",379
"Of the following space shooter games, which came out first?","Space Invaders","Galaxian","Galaga","Sinistar",380
"What is the item required to summon the boss Duke Fishron in the game Terraria?","Truffle Worm","Suspicious Looking Fish","King Grasshopper","Slug",381
"In Overwatch, how old is Reinhardt Wilhelm?","61","59","65","62",382
"In &quot;Fallout 4&quot;, what is the name of the dog you find at Red Rocket truck stop?","Dogmeat","Sparky","Quazar","Chop",383
"The cake depicted in Valve&#039;s &quot;Portal&quot; franchise most closely resembles which real-world type of cake?","Black Forest","Devil&#039;s Food","Molten Chocolate","German Chocolate",384
